Q	a	r
q16	3	0
q16	0	0
q16	3	0
q16	3	0
q16	1	0
q16	2	0
q16	2	0
q16	4	0
q16	2	0
q16	2	0
q16	4	0
q16	4	0
q16	0	0
q16	4	0
q16	1	0
q16	2	0
q16	3	0
q16	3	0
q16	3	0
q16	4	0
q16	0	0
q16	0	0
q16	0	0
q16	2	0
q16	3	0
q16	2	0
q16	0	0
q16	2	0
q16	4	0
q16	0	0
q16	2	0
q16	2	0
q16	2	0
q16	4	0
q16	2	0
q16	3	0
q16	1	0
q16	3	0
q16	0	0
q16	4	0
q16	3	0
q16	0	0
q16	4	0
q16	3	0
q16	0	0
q33	4	0
q33	1	0
q16	2	0
q16	0	0
q33	0	0
q33	0	0
q33	3	0
q33	1	0
q33	4	0
q33	1	0
q33	2	0
q33	0	0
q33	3	0
q33	4	0
q33	3	0
q33	3	0
q33	1	0
q33	0	0
q33	3	0
q27	1	0
q19	3	0
q19	4	0
q19	2	0
q19	2	0
q33	1	0
q16	2	0
q16	2	0
q16	3	0
q16	1	0
q16	4	0
q16	1	0
q16	0	0
q16	3	0
q16	0	0
q16	4	0
q16	2	0
q16	4	0
q16	0	0
q33	4	0
q33	4	0
q33	4	0
q33	0	0
q33	2	0
q33	2	0
q33	1	0
q33	2	0
q33	4	0
q33	0	0
q33	1	0
q33	1	0
q16	2	0
q16	2	0
q16	3	0
q16	2	0
q16	2	0
q16	2	0
q16	0	0
q37	3	0
q37	1	0
q16	0	0
q37	1	0
q16	1	0
q16	4	0
q16	1	0
q16	3	0
q16	1	0
q16	4	0
q16	1	0
q16	3	0
q16	0	0
q16	3	0
q16	2	0
q16	3	0
q16	2	0
q16	4	0
q16	3	0
q16	4	0
q16	4	0
q16	4	0
q16	3	0
q16	2	0
q16	1	0
q16	1	0
q16	0	0
q16	4	0
q16	4	0
q16	0	0
q16	3	0
q16	1	0
q16	1	0
q16	4	0
q16	4	0
q16	4	0
q16	2	0
q16	3	0
q16	1	0
q16	3	0
q16	3	0
q16	3	0
q16	4	0
q16	2	0
q16	0	0
q16	4	0
q16	2	0
q16	1	0
q16	0	0
q16	4	0
q16	1	0
q16	2	0
q16	4	0
q16	4	0
q16	4	0
q16	4	0
q16	4	0
q16	3	0
q16	0	0
q16	1	0
q16	0	0
q16	0	0
q16	1	0
q16	1	0
q16	2	0
q16	3	0
q16	2	0
q16	4	0
q16	4	0
q16	0	0
q16	4	0
q16	0	0
q16	1	0
q16	2	0
q16	3	0
q16	0	0
q16	0	0
q16	0	0
q16	0	0
q16	3	0
q16	3	0
q16	0	0
q16	0	0
q33	2	0
q33	3	0
q33	4	0
q33	3	0
q33	0	0
q33	2	0
q33	4	0
q33	2	0
q33	1	0
q33	0	0
q33	0	0
q33	4	0
q33	0	0
q33	3	0
q33	1	0
q33	1	0
q33	2	0
q33	1	0
q33	1	0
q16	0	0
q33	0	0
q33	1	0
q33	2	0
q33	3	0
q33	1	0
q16	1	0
q16	1	0
q16	2	0
q16	1	0
q16	3	0
q16	4	0
q16	4	0
q16	2	0
q16	1	0
q16	2	0
q16	1	0
q16	3	0
q16	3	0
q16	4	0
q16	2	0
q16	2	0
q16	0	0
q16	2	0
q16	0	0
q16	0	0
q16	4	0
q16	1	0
q16	1	0
q16	4	0
q16	3	0
q16	3	0
q16	4	0
q16	3	0
q16	4	0
q16	4	0
q16	2	0
q16	4	0
q16	1	0
q16	3	0
q16	0	0
q16	3	0
q16	2	0
q16	0	0
q16	0	0
q16	1	0
q16	1	0
q16	4	0
q16	2	0
q16	4	0
q16	2	0
q16	3	0
q16	3	0
q16	3	0
q16	1	0
q16	1	0
q16	3	0
q16	0	0
q16	3	0
q16	2	0
q16	2	0
q16	1	0
q16	4	0
q16	2	0
q16	0	0
q16	0	0
q16	2	0
q16	0	0
q16	3	0
q16	3	0
q16	3	0
q16	4	0
q16	0	0
q16	3	0
q16	1	0
q16	3	0
q16	0	0
q16	3	0
q16	2	0
q16	4	0
q16	4	0
q16	1	0
q16	3	0
q16	4	0
q16	3	0
q14	1	0
q14	0	0
q14	4	0
q14	4	0
q14	4	0
q14	3	0
q6	3	300
q4	3	0
q2	1	0
q2	4	0
q2	4	0
q2	4	0
q2	2	0
q3	0	300
q4	4	0
q4	3	0
q2	2	0
q4	2	0
q6	1	300
q5	1	0
q5	4	0
q5	4	0
q5	1	0
q1	2	0
q14	3	0
q1	2	0
q14	4	0
q14	0	0
q14	4	0
q14	3	0
q5	4	0
q5	3	0
q3	2	300
q5	0	0
q5	1	0
q5	4	0
q5	0	0
q5	2	0
q14	0	0
q14	0	0
q14	1	0
q14	2	0
q16	3	0
q14	3	0
q6	4	300
q6	2	300
q14	4	0
q14	3	0
q6	0	300
q6	3	300
q4	1	0
q4	2	0
q6	3	300
q4	4	0
q4	4	0
q4	4	0
q4	1	0
q3	0	300
q4	0	0
q4	1	0
q4	0	0
q4	2	0
q6	1	300
q6	0	300
q6	1	300
q6	1	300
q5	2	0
q14	1	0
q14	1	0
q14	4	0
q14	2	0
q16	2	0
q16	3	0
q16	4	0
q16	4	0
q16	0	0
q16	1	0
q16	4	0
q16	3	0
q14	2	0
q16	4	0
q16	4	0
q16	4	0
q16	0	0
q16	1	0
q16	4	0
q16	3	0
q14	2	0
q16	4	0
q16	0	0
q16	1	0
q16	4	0
q16	4	0
q16	4	0
q16	3	0
q14	2	0
q16	0	0
q16	0	0
q16	0	0
q16	1	0
q16	0	0
q16	2	0
q16	0	0
q16	1	0
q16	2	0
q16	4	0
q16	2	0
q16	1	0
q16	2	0
q16	0	0
q16	0	0
q16	4	0
q16	0	0
q16	2	0
q16	1	0
q16	3	0
q16	0	0
q16	2	0
q16	4	0
q16	2	0
q16	2	0
q16	4	0
q16	4	0
q16	1	0
q16	3	0
q16	3	0
q16	0	0
q16	0	0
q16	4	0
q16	1	0
q16	2	0
q16	1	0
q16	3	0
q16	2	0
q16	4	0
q16	4	0
q16	4	0
q16	1	0
q16	1	0
q16	4	0
q16	0	0
q16	3	0
q16	3	0
q16	1	0
q16	4	0
q16	2	0
q16	0	0
q16	4	0
q16	3	0
q16	1	0
q16	4	0
q16	4	0
q16	2	0
q16	3	0
q16	2	0
q16	0	0
q16	3	0
q16	1	0
q16	0	0
q16	1	0
q16	3	0
q16	3	0
q16	2	0
q16	0	0
q16	2	0
q16	0	0
q16	0	0
q16	1	0
q16	2	0
q16	4	0
q16	1	0
q16	3	0
q16	1	0
q16	4	0
q16	4	0
q16	0	0
q16	4	0
q16	3	0
q16	4	0
q16	1	0
q16	4	0
q16	1	0
q16	3	0
q16	2	0
q16	0	0
q16	0	0
q16	3	0
q16	4	0
q16	3	0
q16	2	0
q16	4	0
q16	0	0
q16	2	0
q16	2	0
q16	1	0
q16	0	0
q16	0	0
q16	2	0
q16	1	0
q16	3	0
q16	4	0
q16	3	0
q16	4	0
q16	4	0
q16	2	0
q16	1	0
q16	3	0
q16	3	0
q16	3	0
q16	2	0
q16	4	0
q16	2	0
q16	2	0
q16	4	0
q16	4	0
q16	2	0
q16	1	0
q16	3	0
q16	4	0
q16	3	0
q16	4	0
q16	1	0
q16	4	0
q16	0	0
q16	1	0
q16	4	0
q16	0	0
q16	2	0
q16	3	0
q16	3	0
q16	0	0
q16	0	0
q16	2	0
q16	1	0
q16	3	0
q16	3	0
q16	4	0
q16	1	0
q16	0	0
q16	0	0
q16	3	0
q16	0	0
q16	4	0
q16	0	0
q16	1	0
q16	2	0
q16	0	0
q16	2	0
q16	2	0
q16	4	0
